REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,161,,,,1
2012-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,157.7,,,,1
2012-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,155.7,,,,1
2012-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,156,,,,1
2012-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,159.2,,,,1
2012-09,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,160.6,,,,1
2012-10,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,159.5,,,,1
2012-11,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,153.8,,,,1
2012-12,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,151.9,,,,1
2013-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,152.8,,,,1
2013-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,160.1,,,,1
2013-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,159.9,,,,1
2013-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,158,,,,1
2013-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,159.3,,,,1
2013-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,162.1,,,,1
2013-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,164.2,,,,1
2013-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,163,,,,1
2013-09,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,163,,,,1
2013-10,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,157,,,,1
2013-11,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,157.4,,,,1
2013-12,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,158.9,,,,1
2014-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,160.2,,,,1
2014-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,162.6,,,,1
2014-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,167.2,,,,1
2014-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,171.2,,,,1
2014-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,172.7,,,,1
2014-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,173,,,,1
2014-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,171.9,,,,1
2014-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,168.3,,,,1
2014-09,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,167.4,,,,1
2014-10,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,163.6,,,,1
2014-11,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,156.5,,,,1
2014-12,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,148.7,,,,1
2015-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,139.5,,,,1
2015-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,145.1,,,,1
2015-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.8,,,,1
2015-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,148.1,,,,1
2015-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,152.4,,,,1
2015-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,157.5,,,,1
2015-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,159.2,,,,1
2015-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,156.1,,,,1
2015-09,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.3,,,,1
2015-10,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,146.6,,,,1
2015-11,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,146.5,,,,1
2015-12,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,143.4,,,,1
2016-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,139,,,,1
2016-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,134.6,,,,1
2016-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,138.1,,,,1
2016-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,143.4,,,,1
2016-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,146.9,,,,1
2016-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,150.6,,,,1
2016-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,147.4,,,,1
2016-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,147,,,,1
2016-09,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,147.3,,,,1
2016-10,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,150.2,,,,1
2016-11,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,146.8,,,,1
2016-12,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.1,,,,1
2017-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,155.8,,,,1
2017-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,151.1,,,,1
2017-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.8,,,,1
2017-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,157.2,,,,1
2017-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,151.8,,,,1
2017-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,148.7,,,,1
